model,accuracy,macro_f1,train_seconds,predict_ms_per_sample
random_forest,0.9956625785222853,0.9837468971350202,19.837264899979346,0.020128252069777926
svm_rbf,0.9879848439525376,0.963028220073856,30.011639400036074,1.2611291554504525
mlp,0.9871871572439924,0.9600896104721147,58.856272199889645,0.0006851201529876222
knn,0.9828497357662778,0.9609478545939262,0.015353899914771318,0.06636334928613455
